datetime,observer,polyid,surveyed,waypoint,nonpup_count,pup_count,water_count,adult_total,pup_total,air_temp,wind_speed,wind_direction,sky_condition,precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16J,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16K,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16L,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16CD,1,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16EF,116,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16G,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,1,JF16A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF19,1,JF19BD,30,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF19,1,JF19A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF18,0,JF18A,NA,NA,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,JF16,0,JF16M,NA,NA,,,,60s,5-15,NA,Partly Cloudy,No Precip
2012-08-10 15:10:00,Withrow/Burns,Other,0,Other,NA,NA,,262,0,60s,5-15,NA,Partly Cloudy,No Precip
2012-07-10 14:11:00,Withrow,JF15,1,JF15A,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF15,1,JF15B,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF15,1,JF15C,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16H,102,38,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16J,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16K,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16L,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16CD,10,5,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16EF,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16G,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,1,JF16A,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF19,1,JF19BD,13,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF19,1,JF19A,0,0,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF18,0,JF18A,NA,NA,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,JF16,0,JF16M,NA,NA,,,,50s,16-25,NA,Overcast,No Precip
2012-07-10 14:11:00,Withrow,Other,0,Other,NA,NA,,125,43,50s,16-25,NA,Overcast,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF15,1,JF15A,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF15,1,JF15B,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF15,1,JF15C,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16H,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16J,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16K,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16L,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16CD,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16EF,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16G,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,1,JF16A,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF19,1,JF19BD,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF19,1,JF19A,0,0,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF18,0,JF18A,NA,NA,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,JF16,0,JF16M,NA,NA,,,,22,16-25,NA,Clear,No Precip
2012-04-03 15:30:00,Withrow/Dahle,Other,0,Other,NA,NA,,0,0,22,16-25,NA,Clear,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF15,1,JF15A,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF15,1,JF15B,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF15,1,JF15C,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16H,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16J,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16K,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16L,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16CD,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16EF,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16G,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,1,JF16A,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF19,1,JF19BD,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF19,1,JF19A,0,0,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF18,0,JF18A,NA,NA,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,JF16,0,JF16M,NA,NA,,,,<40,>25,NA,Overcast,No Precip
2011-11-07 15:03:00,Withrow/Kugo/Wynne,Other,0,Other,NA,NA,,0,0,<40,>25,NA,Overcast,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF15,1,JF15A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF15,1,JF15B,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF15,1,JF15C,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16H,49,15,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16J,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16K,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16L,14,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16CD,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16EF,34,1,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16G,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,1,JF16A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF19,1,JF19BD,39,6,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF19,1,JF19A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF18,0,JF18A,NA,NA,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,JF16,0,JF16M,NA,NA,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-15 17:23:00,Withrow/Yano,Other,0,Other,NA,NA,,136,22,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF15,1,JF15A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF15,1,JF15B,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF15,1,JF15C,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16H,37,5,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16J,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16K,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16L,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16CD,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16EF,83,4,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16G,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,1,JF16A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF19,1,JF19BD,60,7,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF19,1,JF19A,0,0,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF18,0,JF18A,NA,NA,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,JF16,0,JF16M,NA,NA,,,,50s,5-15,NA,Partly Cloudy,No Precip
2011-08-13 21:35:00,Withrow/Yano,Other,0,Other,NA,NA,,180,16,50s,5-15,NA,Partly Cloudy,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF15,1,JF15A,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF15,1,JF15B,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF15,1,JF15C,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16H,104,35,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16J,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16K,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16L,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16CD,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16EF,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16G,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,1,JF16A,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF19,1,JF19BD,34,8,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF19,1,JF19A,0,0,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF18,0,JF18A,NA,NA,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,JF16,0,JF16M,NA,NA,,,,40s,>5,NA,Fog,No Precip
2011-07-15 14:00:00,Withrow/Burns,Other,0,Other,NA,NA,,138,43,40s,>5,NA,Fog,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF15,1,JF15A,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF15,1,JF15B,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF15,1,JF15C,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16H,39,3,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16J,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16K,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16L,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16CD,12,1,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16EF,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16G,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,1,JF16A,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF19,1,JF19BD,24,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF19,1,JF19A,0,0,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF18,0,JF18A,NA,NA,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,JF16,0,JF16M,NA,NA,,,,50s,5-15,NA,Clear,No Precip
2011-06-17 13:47:00,Withrow/Burns/Askaok/Van Landen,Other,0,Other,NA,NA,,75,4,50s,5-15,NA,Clear,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF15,1,JF15A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF15,1,JF15B,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF15,1,JF15C,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16H,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16J,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16K,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16L,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16CD,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16EF,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16G,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,1,JF16A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF19,1,JF19BD,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF19,1,JF19A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF18,0,JF18A,NA,NA,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,JF16,0,JF16M,NA,NA,,,,<40,5-15,NA,Partly Cloudy,No Precip
2011-04-14 14:37:00,Withrow/Burns/Askaok/Seagers,Other,1,Other,73,0,,73,0,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF15,1,JF15A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF15,1,JF15B,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF15,1,JF15C,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16H,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16J,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16K,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16L,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16CD,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16EF,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16G,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,1,JF16A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF19,1,JF19BD,8,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF19,1,JF19A,0,0,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF18,0,JF18A,NA,NA,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,JF16,0,JF16M,NA,NA,,,,<40,5-15,NA,Partly Cloudy,No Precip
2010-11-03 14:04:00,Withrow/Burns/Askaok,Other,0,Other,NA,NA,,8,0,<40,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF15,1,JF15A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF15,1,JF15B,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF15,1,JF15C,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16H,4,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16J,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16K,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16L,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16CD,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16EF,96,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16G,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,1,JF16A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF19,1,JF19BD,79,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF19,1,JF19A,0,0,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF18,0,JF18A,NA,NA,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,JF16,0,JF16M,NA,NA,,,,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-24 14:18:00,Withrow/Yano,Other,0,Other,NA,NA,,179,0,60s,5-15,NA,Partly Cloudy,No Precip
2010-08-03 16:14:00,Withrow,JF15,1,JF15A,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF15,1,JF15B,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF15,1,JF15C,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16H,105,45,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16J,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16K,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16L,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16CD,2,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16EF,50,3,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16G,1,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,1,JF16A,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF19,1,JF19BD,30,7,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF19,1,JF19A,0,0,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF18,0,JF18A,NA,NA,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,JF16,0,JF16M,NA,NA,,,,50s,>25,NA,Overcast,No Precip
2010-08-03 16:14:00,Withrow,Other,0,Other,NA,NA,,188,55,50s,>25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF15,1,JF15A,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF15,1,JF15B,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF15,1,JF15C,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16H,94,37,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16J,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16K,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16L,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16CD,11,10,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16EF,0,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16G,5,0,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF16,1,JF16A,1,1,,,,50s,16-25,NA,Overcast,No Precip
2010-07-09 14:27:00,Withrow/Burns/Askaok,JF19,1,JF19BD,31,15,,,,50s,16-25,NA,Overcast,No Precip
