datetime,agency,observer,adulttotal,puptotal,airtemp,windspeed,winddirection,skycondition,precip,notes
2005-08-11 16:00:00,pebble_abr,Pebble Mine,194,NA,71.6,6.84,SSE,Clear,NA,
2005-08-17 16:00:00,pebble_abr,Pebble Mine,276,NA,55.4,9.32,N,Light Rain,NA,
2005-08-21 11:00:00,pebble_abr,Pebble Mine,211,NA,59,10.56,WNW,Mostly Cloudy,NA,
2005-08-29 13:00:00,pebble_abr,Pebble Mine,199,NA,53.6,10.56,WSW,Mostly Cloudy,NA,
2005-09-08 15:00:00,pebble_abr,Pebble Mine,64,NA,53.6,6.84,E,Clear,NA,
2005-10-10 14:00:00,pebble_abr,Pebble Mine,2,NA,37.4,8.08,NNE,Mostly Cloudy,NA,
2005-12-13 12:00:00,pebble_abr,Pebble Mine,0,NA,32,22.99,E,Overcast,NA,
2007-05-21 16:00:00,pebble_abr,Pebble Mine,0,NA,32,8.08,ESE,Partly Cloudy,NA,updated data
2007-06-20 16:00:00,pebble_abr,Pebble Mine,51,NA,48.2,4.35,Variable,Clear,NA,updated data
2007-07-16 15:00:00,pebble_abr,Pebble Mine,238,NA,50,11.81,SW,Overcast,NA,updated data
2007-07-27 10:30:00,pebble_abr,Pebble Mine,40,NA,60.8,NA,Calm,Clear,NA,updated data
2007-08-14 13:00:00,pebble_abr,Pebble Mine,311,NA,48.2,9.32,SW,Light Rain,NA,
2007-08-15 14:30:00,pebble_abr,Pebble Mine,313,NA,48.2,8.08,N,Overcast,NA,
2007-08-29 13:00:00,pebble_abr,Pebble Mine,86,NA,66.2,6.84,NNW,Partly Cloudy,NA,updated data
2007-09-12 10:30:00,pebble_abr,Pebble Mine,79,NA,51.8,5.59,WSW,Overcast,NA,
2007-10-11 11:00:00,pebble_abr,Pebble Mine,0,NA,41,13.67,E,Overcast,NA,
2008-08-02 11:00:00,pebble_abr,Pebble Mine,230,NA,55.4,5.59,SSE,Overcast,NA,new data
2008-08-04 13:30:00,pebble_abr,Pebble Mine,204,NA,57.2,8.08,ESE,Overcast,NA,new data
2008-08-16 11:00:00,pebble_abr,Pebble Mine,264,NA,53.6,0,Calm,Overcast,NA,new data
2008-08-16 17:00:00,pebble_abr,Pebble Mine,264,NA,57.2,13.67,SSE,Scattered Clouds,NA,new data
2008-08-17 10:30:00,pebble_abr,Pebble Mine,312,NA,51.8,3.73,NNE,Mostly Cloudy,NA,new data
2008-08-17 16:30:00,pebble_abr,Pebble Mine,357,NA,55.4,14.91,E,Light Rain,NA,new data
2008-08-18 12:30:00,pebble_abr,Pebble Mine,221,NA,57.2,3.73,ENE,Overcast,NA,new data
2009-06-18 00:00:00,newhalen,Newhalen,30,0,NA,NA,NA,NA,NA,new data; no survey time
2009-06-21 00:00:00,newhalen,Newhalen,21,0,NA,NA,NA,NA,NA,new data; no survey time
2009-06-24 00:00:00,newhalen,Newhalen,81,0,NA,NA,NA,NA,NA,new data; no survey time
2009-06-28 00:00:00,newhalen,Newhalen,76,23,NA,NA,NA,NA,NA,new data; no survey time
2009-07-07 00:00:00,newhalen,Newhalen,66,11,NA,NA,NA,NA,NA,new data; no survey time
2009-07-27 00:00:00,newhalen,Newhalen,87,7,NA,NA,NA,NA,NA,new data; no survey time
2009-08-02 00:00:00,newhalen,Newhalen,192,0,NA,NA,NA,NA,NA,new data; no survey time
2009-08-16 00:00:00,newhalen,Newhalen,191,0,NA,NA,NA,NA,NA,new data; no survey time
2009-08-25 00:00:00,newhalen,Newhalen,74,0,NA,NA,NA,NA,NA,new data; no survey time
2009-09-19 00:00:00,newhalen,Newhalen,47,0,NA,NA,NA,NA,NA,new data; no survey time
