Year,DayOfYear,Month,Day,Date,LakeLevel,Source
2007,241,8,29,2007-08-29 00:00:00, 77.73 ,PileBay
2008,136,5,15,2008-05-15 00:00:00, 26.53 ,PileBay
2008,147,5,26,2008-05-26 00:00:00, 32.62 ,PileBay
2008,163,6,11,2008-06-11 00:00:00, 47.86 ,PileBay
2008,178,6,26,2008-06-26 00:00:00, 60.06 ,PileBay
2008,179,6,27,2008-06-27 00:00:00, 61.28 ,PileBay
2008,187,7,5,2008-07-05 00:00:00, 69.81 ,PileBay
2008,196,7,14,2008-07-14 00:00:00, 79.87 ,PileBay
2008,202,7,20,2008-07-20 00:00:00, 88.71 ,PileBay
2008,203,7,21,2008-07-21 00:00:00, 90.54 ,PileBay
2008,216,8,3,2008-08-03 00:00:00, 102.12 ,PileBay
2008,221,8,8,2008-08-08 00:00:00, 103.95 ,PileBay
2008,224,8,11,2008-08-11 00:00:00, 103.34 ,PileBay
2008,229,8,16,2008-08-16 00:00:00, 103.34 ,PileBay
2008,233,8,20,2008-08-20 00:00:00, 103.95 ,PileBay
2008,242,8,29,2008-08-29 00:00:00, 105.78 ,PileBay
2008,248,9,4,2008-09-04 00:00:00, 104.56 ,PileBay
2008,255,9,11,2008-09-11 00:00:00, 108.82 ,PileBay
2008,269,9,25,2008-09-25 00:00:00, 124.06 ,PileBay
2008,277,10,3,2008-10-03 00:00:00, 121.63 ,PileBay
2008,285,10,11,2008-10-11 00:00:00, 119.49 ,PileBay
2009,137,5,17,2009-05-17 00:00:00, 26.53 ,PileBay
2009,154,6,3,2009-06-03 00:00:00, (3.61),PileBay
2009,161,6,10,2009-06-10 00:00:00, 63.71 ,PileBay
2009,163,6,12,2009-06-12 00:00:00, 64.93 ,PileBay
2009,167,6,16,2009-06-16 00:00:00, 70.42 ,PileBay
2009,173,6,22,2009-06-22 00:00:00, 78.34 ,PileBay
2009,180,6,29,2009-06-29 00:00:00, 81.39 ,PileBay
2009,200,7,19,2009-07-19 00:00:00, 92.06 ,PileBay
2009,211,7,30,2009-07-30 00:00:00, 107.00 ,PileBay
2009,222,8,10,2009-08-10 00:00:00, 124.67 ,PileBay
2009,229,8,17,2009-08-17 00:00:00, 127.11 ,PileBay
2009,234,8,22,2009-08-22 00:00:00, 127.11 ,PileBay
2009,236,8,24,2009-08-24 00:00:00, 125.89 ,PileBay
2009,240,8,28,2009-08-28 00:00:00, 122.54 ,PileBay
2009,241,8,29,2009-08-29 00:00:00, 122.24 ,PileBay
2009,247,9,4,2009-09-04 00:00:00, 122.24 ,PileBay
2009,269,9,26,2009-09-26 00:00:00, 111.87 ,PileBay
2009,284,10,11,2009-10-11 00:00:00, 102.73 ,PileBay
2009,286,10,13,2009-10-13 00:00:00, 110.65 ,PileBay
2009,301,10,28,2009-10-28 00:00:00, 107.60 ,PileBay
2010,171,6,20,2010-06-20 00:00:00, 42.38 ,PileBay
2010,181,6,30,2010-06-30 00:00:00, 50.30 ,PileBay
2010,223,8,11,2010-08-11 00:00:00, 104.25 ,PileBay
2010,230,8,18,2010-08-18 00:00:00, 122.24 ,PileBay
2010,233,8,21,2010-08-21 00:00:00, 119.49 ,PileBay
2010,238,8,26,2010-08-26 00:00:00, 125.28 ,PileBay
2011,208,7,27,2011-07-27 00:00:00, 73.77 ,PileBay
2011,220,8,8,2011-08-08 00:00:00, 87.49 ,PileBay
2011,231,8,19,2011-08-19 00:00:00, 122.24 ,PileBay
2011,239,8,27,2011-08-27 00:00:00, 103.34 ,PileBay
2012,130,5,9,2012-05-09 00:00:00, 14.34 ,PileBay
2012,148,5,27,2012-05-27 00:00:00, 28.05 ,PileBay
2012,155,6,3,2012-06-03 00:00:00, 37.20 ,PileBay
2012,163,6,11,2012-06-11 00:00:00, 49.39 ,PileBay
2012,174,6,22,2012-06-22 00:00:00, 64.63 ,PileBay
2012,190,7,8,2012-07-08 00:00:00, 93.58 ,PileBay
2012,200,7,18,2012-07-18 00:00:00, 102.73 ,PileBay
2012,222,8,9,2012-08-09 00:00:00, 125.59 ,PileBay
2012,242,8,29,2012-08-29 00:00:00, 128.64 ,PileBay
2012,261,9,17,2012-09-17 00:00:00, 143.88 ,PileBay
2012,264,9,20,2012-09-20 00:00:00, 159.12 ,PileBay
2012,265,9,21,2012-09-21 00:00:00, 154.54 ,PileBay
2012,280,10,6,2012-10-06 00:00:00, 175.88 ,PileBay
2012,293,10,19,2012-10-19 00:00:00, 171.31 ,PileBay
2012,294,10,20,2012-10-20 00:00:00, 168.26 ,PileBay
2012,301,10,27,2012-10-27 00:00:00, 157.59 ,PileBay
